Responder #,Vote,Explanation,Age Range,Gender Identity,Kids Toy Buying Frequency,Hobbies And Interests,Age Of Kids,Parents
1,B-C-D-A-E,i would prefer to just read to my kids or have them read to each other but my next choice would be a device with audio only,25-34,Female,Frequently,Crochet / knitting; Cooking; Health and fitness; Travel; Reading; Boating; Arts and crafts,6-11 years old; 4-5 years old; 0-3 years old,Yes
2,A-D-C-E-B,"I think a single purpose device is very important, I don't want my kids to have any tablets. I'm okay with them having images on the screen as long as it's always related to the story and there are no ads",25-34,Male,Frequently,Photography / videography; Reading; Technology; Hiking; Camping,0-3 years old; 4-5 years old,Yes
3,D-B-A-C-E,"Generally, I think I would prefer the audio only. It creates better opportunities for the child to use their imagination. I don’t want them on a phone or tablet so a single used device would be preferred.",35-44,Male,Sometimes,Camping; Boating; Board/tabletop games; Card collecting; Hiking; Arts and crafts; Health and fitness; Cooking; Reading; Gardening; Interior decorating / renovating,6-11 years old; 12-17 years old; 4-5 years old,Yes
4,B-E-A-C-D,"I have been working a lot in AI . I don't think AI should be introduced to kids just yet since we're still trying to figure a lot of it out , then I'm gonna go with B . Nothing . I would rather not use any AI enabled devices or app for storytelling for my children at this point . ",35-44,Male,Frequently,"Health and fitness; Other; Visiting art galleries, museums, exhibitions; Travel; Reading; Playing music; Photography / videography; Hiking",6-11 years old; 4-5 years old; 0-3 years old,Yes
5,C-E-A-D-B,I chose option C first because I think an app would provide the most reach to customers.,35-44,Male,Frequently,"Reading; Board/tabletop games; Technology; Cooking; Playing music; Health and fitness; Other; Visiting art galleries, museums, exhibitions; Travel",6-11 years old; 4-5 years old,Yes
6,A-D-C-E-B,I think this is  a nice way to get them off of their tablets and tvs and help with their imagination. Would also be a great way for parents to catch a breather,35-44,Female,Frequently,Board/tabletop games; Card collecting; Camping; Boating; Arts and crafts; Cooking; Technology; Reading; Playing music; Gardening,12-17 years old; 6-11 years old; 4-5 years old,Yes
7,D-A-C-B-E,"I would be fine with either options D or A. I like that this is an audio only device and I would not have to use a smartphone. This sounds like a very uncomplicated device that would be simple to use and to learn to use. I like the simplicity of the device, that means it would be easy to teach a child how to use it. The simplicity of it is the reason I would buy it   ",25-34,Female,Frequently,Boating; Board/tabletop games; Arts and crafts; Health and fitness; Cooking; Camping; Crochet / knitting; Playing music; Watching sports on TV; Technology; Reading,4-5 years old; 6-11 years old; 0-3 years old,Yes
8,A-E-D-C-B,"I prefer option Dedicated single-purpose device(Audio + Images) AI-enabled story-telling device most. It is unlike tablets or phone, it's not cluttered with apps or notifications. Keeps children immersed in storytelling without temptation to browse the internet or watch unrelated videos. My second choice is option E, third choice is option D.",35-44,Male,Frequently,"Visiting art galleries, museums, exhibitions; Photography / videography; Travel; Reading",12-17 years old; 4-5 years old; 6-11 years old,Yes
9,E-C-A-D-B,I choose E first because I can download it on my daughter's tablet and she can play with it and ask for stories she loves them,35-44,Female,Frequently,Hunting / fishing; Reading; Camping; Boating,4-5 years old; 12-17 years old,Yes
10,B-C-E-A-D,I don’t really understand AI and its general concept makes me uncomfortable/ has a negative stigma. I am not complete Opposed to using it with some education.,35-44,Female,Frequently,Cooking; Playing music; Gardening; Reading,6-11 years old; 4-5 years old,Yes
11,A-C-D-E-B,I prefer dedicated device with both image and audio which keeps children engaged and also distraction free. Audio only will be not that engaging.,25-34,Female,Sometimes,Boating; Watching sports on TV; Gardening; Camping; Health and fitness; Reading; Arts and crafts; Playing music; Travel; Photography / videography,6-11 years old; 4-5 years old,Yes
12,B-D-A-C-E,"I'd go with detailed device with audio + visual because it offers the right mix of child independence, learning value, and peace of mind for me as a parent. I want my kids to be creative, but I also want the protected from distractions, and a device that's fun, engaging and safe check all those boxes.",25-34,Male,Frequently,Technology; Gardening; Reading; Watching sports on TV,4-5 years old; 6-11 years old,Yes
13,A-E-C-D-B,I think an AI tool for kids that can use their imagination and create any story they want is amazing 😍 I would choose option A because it's an app that can be used for the phone and that's convenient.,45-54,Female,Sometimes,Reading,4-5 years old,Yes
14,D-E-C-B-A,"I chose D first, because I like my devices or products to be simple to use and not too complex.",55-64,Male,Sometimes,Hiking; Watching sports on TV; Other; Reading,4-5 years old,Yes
15,C-B-D-E-A, Unsure about A.I. at this time. Not sure AI is the best way to do anything as it takes a lot of personal information to use AI ,35-44,Female,Frequently,Playing music; Arts and crafts; Travel; Reading,0-3 years old; 4-5 years old,Yes
